I	0
need	REQUEST
to	REQUEST
see	TASK
the	TASK
site	TASK
plan	TASK
for	TASK
Burnet	TASK
.	0
Remember	REQUEST
I	0
must	REQUEST
get	TASK
written	TASK
approval	TASK
from	TASK
Brenda	PERSON
Key	PERSON
Stone	TIME
before	TIME
I	0
can	0
sell	0
this	0
property	0
and	0
she	0
has	0
concerns	0
about	0
the	0
way	0
the	0
property	0
will	0
be	0
subdivided	0
.	0
I	0
would	REQUEST
also	REQUEST
like	REQUEST
to	REQUEST
review	TASK
the	TASK
closing	TASK
statements	TASK
as	TASK
soon	TASK
as	TASK
possible	TASK
.	0
Phillip	PERSON
